"PTT","date_time","year","date","time","argos_loc_class","lon","lat","dep_year","dep_date","end_date","track_dur","dep_loc","dep_lat","dep_lon","stage","sex","maturity","init_activity","num_locations","movement"
"53348",2010-02-23 12:22:00,2010,2010-02-23,12:22:00,"B",166.599,-66.641,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-02-23 12:34:00,2010,2010-02-23,12:34:00,"B",166.569,-66.635,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-02-23 12:41:00,2010,2010-02-23,12:41:00,"A",166.608,-66.647,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-02-23 13:34:00,2010,2010-02-23,13:34:00,"A",166.508,-66.654,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-02-23 13:57:00,2010,2010-02-23,13:57:00,"A",166.609,-66.664,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-02-23 14:14:00,2010,2010-02-23,14:14:00,"B",166.564,-66.664,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-02-23 15:37:00,2010,2010-02-23,15:37:00,"1",166.567,-66.665,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-02-23 15:40:00,2010,2010-02-23,15:40:00,"2",166.598,-66.68,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-02-24 01:43:00,2010,2010-02-24,01:43:00,"A",167.24,-66.702,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-02-24 02:30:00,2010,2010-02-24,02:30:00,"B",167.326,-66.71,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
"53348",2010-02-24 12:19:00,2010,2010-02-24,12:19:00,"0",168.578,-67.223,"2010",2010-02-21,2010-03-24,31,"Antarctica",-66.88489,164.1775,"On feeding grounds","Male","Adult","Feeding",118,"Antarctic feeding grounds"
